! Problema de transporte con fuente única
! Datos de un ejemplo con m = 8 y n = 12.
! Hay que resolver el problema de transporte normal y el problema con fuente única
! calculando el incremento en el coste total
m: 8
n: 12
offer:[176 163 192 152 178 105 127 175]

demand:[69 98 95 89 95 104 68 112 82 78 113 109]

cost:[
	6	78	31	54	56	34	83	76	74	67	62	46
	96	30	94	6	59	99	34	86	41	77	89	95
	84	63	41	94	63	57	55	76	3	95	54	62
	65	94	23	56	99	70	5	71	68	97	7	53
	8	44	89	56	14	70	81	97	59	43	80	96
	98	78	7	4	32	37	35	93	59	74	56	52
	4	12	32	9	29	7	18	17	34	15	61	57
	99	1	67	82	24	12	72	53	52	44	78	49]

! Solución: el incremento en el costo es de 4939 ( pasa de 17003 a 21942)
